basin,WaterYear,site_name,sampsize,totalyield,totalyield_z
Shields River,1995,Yellowstone River Livingston NWIS,365,373.50245281913305,0.08692755352776921
Shields River,1996,Yellowstone River Livingston NWIS,366,515.2592713410535,1.6006791989485873
Shields River,1997,Yellowstone River Livingston NWIS,365,594.1493193078995,2.443107388028424
Shields River,1998,Yellowstone River Livingston NWIS,365,414.67020390881885,0.5265378072006823
Shields River,1999,Yellowstone River Livingston NWIS,365,414.2897993748541,0.5224756534699564
Shields River,2000,Yellowstone River Livingston NWIS,366,325.0357229861429,-0.43062491977008577
Shields River,2001,Yellowstone River Livingston NWIS,365,232.5862485121277,-1.417847584348228
Shields River,2002,Yellowstone River Livingston NWIS,365,317.8402249167633,-0.5074621199535915
Shields River,2003,Yellowstone River Livingston NWIS,365,324.69522102567095,-0.43426097345912745
Shields River,2004,Yellowstone River Livingston NWIS,366,262.1769329457671,-1.1018631561027303
Shields River,2005,Yellowstone River Livingston NWIS,365,309.2821869711826,-0.5988492162271531
Shields River,2006,Yellowstone River Livingston NWIS,365,352.2732196523331,-0.13976903131619942
Shields River,2007,Yellowstone River Livingston NWIS,365,268.2995838225034,-1.0364823657066504
Shields River,2008,Yellowstone River Livingston NWIS,366,425.84718076131077,0.6458912695434744
Shields River,2009,Yellowstone River Livingston NWIS,365,416.3971872895876,0.5449794170047908
Shields River,2010,Yellowstone River Livingston NWIS,365,345.48792003845955,-0.21222592307118815
Shields River,2011,Yellowstone River Livingston NWIS,365,554.7622870646194,2.0225125588824207
Shields River,2012,Yellowstone River Livingston NWIS,366,372.9241315206439,0.08075194359028706
Shields River,2013,Yellowstone River Livingston NWIS,365,277.4364751008864,-0.9389139781617178
Shields River,2014,Yellowstone River Livingston NWIS,365,444.1826792984123,0.8416870793644782
Shields River,2015,Yellowstone River Livingston NWIS,365,328.7519826641064,-0.39094080255452934
Shields River,2016,Yellowstone River Livingston NWIS,365,288.8946320879243,-0.8165579308585218
Shields River,2017,Yellowstone River Livingston NWIS,364,477.78543448817516,1.200514446467887
Shields River,2018,Yellowstone River Livingston NWIS,365,527.6264089522575,1.7327418052013577
Shields River,2019,Yellowstone River Livingston NWIS,365,388.56407820972805,0.2477632752620261
Shields River,2020,Yellowstone River Livingston NWIS,366,393.6787900800361,0.30238077860515417
Shields River,2021,Yellowstone River Livingston NWIS,365,268.44536122433044,-1.0349256802210296
Shields River,2022,Yellowstone River Livingston NWIS,365,353.9076290625985,-0.12231597360879944
Shields River,2023,Yellowstone River Livingston NWIS,365,376.0503651452271,0.114135461522801
Shields River,2024,Yellowstone River Livingston NWIS,366,335.4604033197171,-0.31930486354652005
Snake River,1971,Pacific Creek at Moran NWIS,365,837.7746352957569,1.556284499921437
Snake River,1972,Pacific Creek at Moran NWIS,366,681.761250581491,0.789173282389834
Snake River,1973,Pacific Creek at Moran NWIS,365,368.27784792465593,-0.7522113566811068
Snake River,1974,Pacific Creek at Moran NWIS,365,799.7371621269737,1.3692558522975715
Snake River,1975,Pacific Creek at Moran NWIS,365,494.9821788928631,-0.12921151744576878
Snake River,1976,NA,NA,NA,NA
Snake River,1977,NA,NA,NA,NA
Snake River,1978,NA,NA,NA,NA
Snake River,1979,Pacific Creek at Moran NWIS,365,440.05686423343684,-0.3992769677843137
Snake River,1980,Pacific Creek at Moran NWIS,366,468.07429398408584,-0.26151645007303276
Snake River,1981,Pacific Creek at Moran NWIS,365,426.1903986968138,-0.46745779265482396
Snake River,1982,Pacific Creek at Moran NWIS,365,822.4742964250227,1.4810533804808124
Snake River,1983,Pacific Creek at Moran NWIS,365,664.9473787469727,0.706500185347422
Snake River,1984,Pacific Creek at Moran NWIS,366,559.3300897478772,0.18718444006781285
Snake River,1985,Pacific Creek at Moran NWIS,365,444.66005283381764,-0.37664328402549435
Snake River,1986,Pacific Creek at Moran NWIS,365,697.1014192670616,0.8646002433462947
Snake River,1987,Pacific Creek at Moran NWIS,365,307.5430702726601,-1.0508416909723768
Snake River,1988,Pacific Creek at Moran NWIS,366,353.9391145835439,-0.8227143023822499
Snake River,1989,Pacific Creek at Moran NWIS,365,600.8441367545253,0.39130725428826485
Snake River,1990,Pacific Creek at Moran NWIS,365,452.01149865791155,-0.34049653567395616
Snake River,1991,Pacific Creek at Moran NWIS,365,494.9992488135072,-0.12912758536755337
Snake River,1992,Pacific Creek at Moran NWIS,366,331.5661385925708,-0.932721279563557
Snake River,1993,Pacific Creek at Moran NWIS,365,527.0963895981155,0.02869269903726712
Snake River,1994,Pacific Creek at Moran NWIS,365,274.35345456682427,-1.2140336283829987
Snake River,1995,Pacific Creek at Moran NWIS,365,715.3150245944028,0.9541557708023898
Snake River,1996,Pacific Creek at Moran NWIS,366,795.4810619130245,1.3483287874624703
Snake River,1997,Pacific Creek at Moran NWIS,365,1162.2339969268003,3.151637465285038
Snake River,1998,Pacific Creek at Moran NWIS,365,713.3292238261297,0.9443916723699695
Snake River,1999,Pacific Creek at Moran NWIS,365,830.3150799742498,1.5196061817411994
Snake River,2000,Pacific Creek at Moran NWIS,366,506.390575856724,-0.07311691183831183
Snake River,2001,Pacific Creek at Moran NWIS,365,274.8712421596978,-1.211487688677124
Snake River,2002,Pacific Creek at Moran NWIS,365,432.9700021793277,-0.43412276892350965
Snake River,2003,Pacific Creek at Moran NWIS,365,507.11832347352095,-0.06953860757038469
Snake River,2004,Pacific Creek at Moran NWIS,366,381.739187344657,-0.6860225198002482
Snake River,2005,Pacific Creek at Moran NWIS,365,457.16661469245423,-0.3151490480528307
Snake River,2006,Pacific Creek at Moran NWIS,365,633.3862334705918,0.5513153681985732
Snake River,2007,Pacific Creek at Moran NWIS,365,393.05142375555573,-0.6304007315667394
Snake River,2008,Pacific Creek at Moran NWIS,366,680.2693395171896,0.7818376187537862
Snake River,2009,Pacific Creek at Moran NWIS,365,579.9346219601132,0.28849605394597894
Snake River,2010,Pacific Creek at Moran NWIS,365,419.18376526973236,-0.5019091130264062
Snake River,2011,Pacific Creek at Moran NWIS,365,792.79539439834,1.3351234738232085
Snake River,2012,Pacific Creek at Moran NWIS,366,529.3001163532792,0.03952833033490705
Snake River,2013,Pacific Creek at Moran NWIS,365,365.51536576707264,-0.7657943646723391
Snake River,2014,Pacific Creek at Moran NWIS,365,578.480264721229,0.28134504088200596
Snake River,2015,Pacific Creek at Moran NWIS,365,384.74918335158094,-0.6712224966748891
Snake River,2016,Pacific Creek at Moran NWIS,366,390.9051657332274,-0.6409537915343864
Snake River,2017,Pacific Creek at Moran NWIS,365,815.9080669505611,1.448767507727194
Snake River,2018,Pacific Creek at Moran NWIS,365,667.8885260739652,0.7209616824239782
Snake River,2019,Pacific Creek at Moran NWIS,365,432.8801005972684,-0.4345648112021119
Snake River,2020,Pacific Creek at Moran NWIS,366,469.7209723288945,-0.2534198022611634
Snake River,2021,Pacific Creek at Moran NWIS,365,268.68965489708506,-1.24188229193495
Snake River,2022,Pacific Creek at Moran NWIS,365,418.32059628249164,-0.5061532784481773
Snake River,2023,Pacific Creek at Moran NWIS,365,476.434003120896,-0.22041211363489038
Snake River,2024,Pacific Creek at Moran NWIS,366,440.0318283498254,-0.3994000681656966
