site_name,basin,subbasin,region,WaterYear,precip_total,sampsize,precip_total_z
Rapidan River NWIS,Staunton River,Staunton River,Shen,2009,1097.36,364,-0.0832309373393893
Rapidan River NWIS,Staunton River,Staunton River,Shen,2010,1297.65,365,0.7098806551824468
Rapidan River NWIS,Staunton River,Staunton River,Shen,2011,1226,365,0.4261598223690783
Rapidan River NWIS,Staunton River,Staunton River,Shen,2012,1136.52,366,0.07183546619126693
Rapidan River NWIS,Staunton River,Staunton River,Shen,2013,1204.89,364,0.3425681017732629
Rapidan River NWIS,Staunton River,Staunton River,Shen,2014,1238.3,365,0.4748655619867254
Rapidan River NWIS,Staunton River,Staunton River,Shen,2015,1237.22,365,0.4705889604593225
Rapidan River NWIS,Staunton River,Staunton River,Shen,2016,1140.97,366,0.08945664841065983
Rapidan River NWIS,Staunton River,Staunton River,Shen,2017,941.58,364,-0.7000911095050061
Rapidan River NWIS,Staunton River,Staunton River,Shen,2018,1498.81,365,1.5064372878235786
Rapidan River NWIS,Staunton River,Staunton River,Shen,2019,1211.15,365,0.36735655136728496
Rapidan River NWIS,Staunton River,Staunton River,Shen,2020,1418.92,366,1.1900875692826163
Rapidan River NWIS,Staunton River,Staunton River,Shen,2021,1320.23,364,0.7992933056350054
Rapidan River NWIS,Staunton River,Staunton River,Shen,2022,1068.33,365,-0.19818440246949492
Rapidan River NWIS,Staunton River,Staunton River,Shen,2023,941.71,365,-0.6995763333952261
South River Conway NWIS,West Brook,West Brook,Mass,1981,974.55,364,-1.1023774745782946
South River Conway NWIS,West Brook,West Brook,Mass,1982,1208.58,365,-0.22635300699440877
South River Conway NWIS,West Brook,West Brook,Mass,1983,1253.21,365,-0.05929334802646055
South River Conway NWIS,West Brook,West Brook,Mass,1984,1541.05,366,1.0181534867782467
South River Conway NWIS,West Brook,West Brook,Mass,1985,978.05,364,-1.0892762241550855
South River Conway NWIS,West Brook,West Brook,Mass,1986,1212.17,365,-0.21291486727460243
South River Conway NWIS,West Brook,West Brook,Mass,1987,1354.5,365,0.3198568392212076
South River Conway NWIS,West Brook,West Brook,Mass,1988,1105.17,366,-0.6134388087841345
South River Conway NWIS,West Brook,West Brook,Mass,1989,1330.86,364,0.23136725064844704
South River Conway NWIS,West Brook,West Brook,Mass,1990,1335.41,365,0.24839887619861942
South River Conway NWIS,West Brook,West Brook,Mass,1991,1334.74,365,0.24589092254617628
South River Conway NWIS,West Brook,West Brook,Mass,1992,1127.15,366,-0.531162956126382
South River Conway NWIS,West Brook,West Brook,Mass,1993,1039.88,364,-0.8578332773930816
South River Conway NWIS,West Brook,West Brook,Mass,1994,1279.88,365,0.040538180198392254
South River Conway NWIS,West Brook,West Brook,Mass,1995,905.4399999999999,365,-1.3610710222205729
South River Conway NWIS,West Brook,West Brook,Mass,1996,1623.98,366,1.3285782575201674
South River Conway NWIS,West Brook,West Brook,Mass,1997,1230.57,364,-0.14403972219258995
South River Conway NWIS,West Brook,West Brook,Mass,1998,1253.36,365,-0.05873186586546639
South River Conway NWIS,West Brook,West Brook,Mass,1999,1362.45,365,0.3496153937539253
South River Conway NWIS,West Brook,West Brook,Mass,2000,1423.57,366,0.5784006582872202
South River Conway NWIS,West Brook,West Brook,Mass,2001,1161.45,364,-0.402770701978934
