site_name,agneventid,eventlen,mindate,isevent,n_little,n_big,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Grouse Creek,2017_13,7,2016-10-14,1,7,7,2.4116000799588813,3.478099525986231,0.8802904607890597,1.2464860313898967,0.344514297136983,0.4968713608551758,-1.09822292655572,-0.7274906922361398,-1.3950958331156933,-1.1016440234539615,-0.7666596670130871,-1.0201558718999646,-0.7595906550686691,-0.4130228491954878,3
Grouse Creek,2017_14,3,2016-10-21,2,3,3,1.064612098647171,1.1880207026443592,0.06261050619238692,0.17228864725692988,0.354870699549057,0.39600690088145307,-1.0583707362162385,-0.9263819657770909,-1.2790017807938476,-0.9500520789660132,-0.8810671545387193,-0.9371520579850076,-0.9190780970546094,-0.9185334210581668,3
Grouse Creek,2017_15,2,2016-10-24,1,2,2,0.543996524135188,0.8413778000634109,-0.6088124216039822,-0.17271449269553069,0.271998262067594,0.42068890003170545,-1.3058948996803619,-0.8683430100198044,-1.3769145581478262,-1.3058948996803619,-1.2348752412128976,-0.92472331622414,-0.8683430100198044,-0.8119627038154689,3
Grouse Creek,2017_2,4,2016-07-22,1,4,4,0.8796876178213451,1.899288854606913,-0.12818841427858169,0.6414795290605212,0.21992190445533627,0.4748222136517283,-1.5147855308264266,-0.7450086903270472,-1.5376962991538554,-1.5205700146470074,-1.4872471754425334,-0.7659539415658388,-0.7422464525622783,-0.7262732293000707,3
Grouse Creek,2017_3,12,2016-07-26,2,12,12,2.3086398614829378,4.852257893507209,0.8366585465673863,1.5794441416699476,0.19238665512357817,0.4043548244589341,-1.6513484507872858,-0.9075123020447678,-1.7659109245110813,-1.6259164399107733,-1.5556141946698878,-0.9893255304938869,-0.9008153326450403,-0.816244571556353,3
Grouse Creek,2017_4,3,2016-08-07,1,3,3,0.6713223222169756,1.2618363728845343,-0.39850589636775713,0.23256809872751433,0.22377410740565856,0.4206121242948448,-1.5028640355285314,-0.8700887582192294,-1.5785459333448628,-1.576525078851098,-1.3977177203831737,-0.9384680345316767,-0.9234859743299885,-0.7803505954624784,3
Grouse Creek,2017_5,34,2016-08-10,2,34,34,5.516529680170765,11.31056455135308,1.707748981457673,2.4257372050054333,0.16225087294619897,0.33266366327509056,-1.823310333942726,-1.1029626341131435,-1.9373485854842434,-1.8114082203260145,-1.703023414095021,-1.188906681287706,-1.1057673538844188,-1.0023324030068008,3
Grouse Creek,2017_6,4,2016-09-13,1,4,4,0.7361839418756803,1.4658857377257024,-0.3062752704515787,0.38245965890278383,0.18404598546892006,0.3664714344314256,-1.6977311383022218,-1.004835629139457,-1.80055831218842,-1.7069988551227047,-1.587489790959637,-1.0521932762599033,-1.0038484670757022,-0.958267711670014,3
Grouse Creek,2017_7,4,2016-09-17,2,4,4,0.6551554204431816,1.2774385344208024,-0.4228827883747107,0.24485692798188982,0.1637888551107954,0.3193596336052006,-1.810138676905277,-1.1416560750902072,-1.848042237964779,-1.8228902051226494,-1.7620338932718769,-1.1548635828919471,-1.1527021570846463,-1.119611701692916,3
Grouse Creek,2017_8,7,2016-09-21,1,7,7,1.836886819361403,3.103130975386986,0.6080721926644723,1.1324115938526034,0.2624124027659147,0.4433044250552837,-1.3781614104765658,-0.8397365716775234,-1.6483435026174433,-1.398952419364371,-1.0713582234061345,-1.0796797135394016,-0.9234427343762476,-0.5582571759001003,3
Grouse Creek,2017_9,4,2016-09-28,2,4,4,0.7855169427440498,1.4121247729293707,-0.24141325214409298,0.34509550126428473,0.19637923568601245,0.35303119323234267,-1.6299520953969222,-1.041706606085824,-1.6972745704664107,-1.6392715959027009,-1.5551740199228103,-1.07077126802224,-1.0509260128687017,-1.0052664187231057,3
Grouse Creek,2019_1,14,2018-07-02,2,14,14,8.91092494261308,20.93371590280556,2.187278045591303,3.041361060250777,0.6364946387580771,1.4952654216289685,-0.4782930893715152,0.37993313576412796,-0.8471932042985804,-0.4202702096022538,-0.21011757667082104,0.08397005382381478,0.3663410018184481,0.6529611887208876,3
Grouse Creek,2019_2,27,2018-07-16,1,27,27,7.961565484909671,25.362049750583502,2.0746256494779884,3.2332539524298793,0.2948727957373952,0.9393351759475371,-1.2744318135852626,-0.0943357739494882,-1.5556269917016177,-1.3707898266403487,-0.912467981223352,-0.40896957824885805,-0.0943557721446306,0.21148805453622868,3
Grouse Creek,2019_3,14,2018-08-12,2,14,14,2.5037397818908675,7.567191025685332,0.9177855268675932,2.023821931966936,0.17883855584934769,0.5405136446918094,-1.7240415512919478,-0.6165257504863493,-1.800071980934602,-1.7454149153431395,-1.6270509016173484,-0.6767178228680448,-0.6128891597084373,-0.5563546878597567,3
Grouse Creek,2019_4,6,2018-08-26,1,6,6,1.0587657718144479,3.2941103632854394,0.05710386351019608,1.192136135530997,0.17646096196907465,0.5490183938809066,-1.7371214087552218,-0.6093160969160947,-1.8084149899822561,-1.7458521539431902,-1.657097082340219,-0.7366149317030506,-0.628933376727881,-0.4623999823173527,3
Grouse Creek,2019_5,33,2018-09-01,2,33,33,4.688119560247203,13.676145283863203,1.5450315554152039,2.615653094992287,0.1420642290984001,0.4144286449655516,-1.9558328047317493,-0.8825054253632268,-2.0705814876549553,-1.9272738569615167,-1.8737982376042348,-0.94507079788082,-0.9045027782751653,-0.801920207219892,3
Grouse Creek,2019_6,3,2018-10-04,1,3,3,0.39918930861105917,1.256626183680834,-0.9183195169398982,0.2284304976953233,0.13306310287035306,0.41887539456027795,-2.0183778291953587,-0.8719355963489445,-2.0701214587821632,-2.0225046761041816,-1.9649834608450245,-0.9296246639416545,-0.8735284710193357,-0.8136093788880779,3
Grouse Creek,2019_7,8,2018-10-07,2,8,8,1.6130821115027063,3.15472814387657,0.4781467039247147,1.1489023255219932,0.2016352639378383,0.3943410179845713,-1.7656074091132195,-0.9307299025036787,-2.110782574084418,-1.9841686730586006,-1.2837402706491081,-0.9480117871607712,-0.9352292174214812,-0.9040002745052519,3
